Accession_ID	Chr	Start	End	Strand	Length	B_1_1	B_1_2	B_1_3	B_2_1	B_2_2	B_2_3	B_3_1	B_3_2	B_3_3	B_4_1	B_4_2	B_4_3
lcl|NC_010296.1_cds_WP_002795704.1_31	lcl|NC_010296.1_cds_WP_002795704.1_31	1	753	+	753	373	375	383	147	102	255	228	184	226	74	46	102
lcl|NC_010296.1_cds_WP_002795703.1_32	lcl|NC_010296.1_cds_WP_002795703.1_32	1	639	+	639	2658	3311	3533	957	818	1303	3448	1645	1801	490	343	486
lcl|NC_010296.1_cds_MAE_RS28065_34	lcl|NC_010296.1_cds_MAE_RS28065_34	1	192	+	192	14	8	8	7	2	5	5	6	2	0	0	0
lcl|NC_010296.1_cds_WP_012263801.1_35	lcl|NC_010296.1_cds_WP_012263801.1_35	1	579	+	579	23	57	32	1	3	12	12	1	1	2	0	0
lcl|NC_010296.1_cds_WP_012263802.1_36	lcl|NC_010296.1_cds_WP_012263802.1_36	1	660	+	660	48	48	61	44	52	71	19	18	18	11	11	5
lcl|NC_010296.1_cds_WP_012263803.1_37	lcl|NC_010296.1_cds_WP_012263803.1_37	1	813	+	813	58	48	63	11	4	21	22	7	1	8	9	11
lcl|NC_010296.1_cds_WP_041803571.1_39	lcl|NC_010296.1_cds_WP_041803571.1_39	1	234	+	234	16	18	14	2	0	0	3	1	0	0	2	0
lcl|NC_010296.1_cds_WP_012263807.1_41	lcl|NC_010296.1_cds_WP_012263807.1_41	1	171	+	171	5	6	11	2	0	0	0	0	0	0	0	0
lcl|NC_010296.1_cds_WP_002797460.1_42	lcl|NC_010296.1_cds_WP_002797460.1_42	1	186	+	186	280	476	605	210	193	255	355	207	158	96	127	52
lcl|NC_010296.1_cds_WP_002802526.1_43	lcl|NC_010296.1_cds_WP_002802526.1_43	1	138	+	138	4	2	24	5	6	12	6	7	6	1	3	4
lcl|NC_010296.1_cds_WP_002797461.1_44	lcl|NC_010296.1_cds_WP_002797461.1_44	1	285	+	285	54	89	132	51	21	56	40	66	42	13	14	15
lcl|NC_010296.1_cds_WP_002797462.1_45	lcl|NC_010296.1_cds_WP_002797462.1_45	1	297	+	297	61	44	73	25	21	50	27	17	8	13	11	5
lcl|NC_010296.1_cds_WP_070108813.1_46	lcl|NC_010296.1_cds_WP_070108813.1_46	1	156	+	156	51	32	67	8	8	19	26	20	12	6	1	6
lcl|NC_010296.1_cds_WP_012263812.1_47	lcl|NC_010296.1_cds_WP_012263812.1_47	1	393	+	393	63	58	45	263	193	309	26	6	15	28	14	50
lcl|NC_010296.1_cds_WP_002802537.1_48	lcl|NC_010296.1_cds_WP_002802537.1_48	1	444	+	444	54	47	52	222	264	394	11	14	10	31	16	49
lcl|NC_010296.1_cds_WP_012263813.1_49	lcl|NC_010296.1_cds_WP_012263813.1_49	1	897	+	897	74	60	53	271	256	365	33	28	27	25	13	36
lcl|NC_010296.1_cds_MAE_RS00225_50	lcl|NC_010296.1_cds_MAE_RS00225_50	1	321	+	321	33	32	43	53	15	40	10	18	5	13	10	7
lcl|NC_010296.1_cds_WP_002753010.1_51	lcl|NC_010296.1_cds_WP_002753010.1_51	1	669	+	669	119	152	109	119	122	194	37	46	55	20	37	19
lcl|NC_010296.1_cds_WP_012263814.1_52	lcl|NC_010296.1_cds_WP_012263814.1_52	1	447	+	447	51	61	65	142	114	164	11	34	23	29	14	28
lcl|NC_010296.1_cds_WP_012263815.1_53	lcl|NC_010296.1_cds_WP_012263815.1_53	1	570	+	570	58	40	62	89	64	112	17	15	31	10	8	21
lcl|NC_010296.1_cds_WP_012263816.1_54	lcl|NC_010296.1_cds_WP_012263816.1_54	1	372	+	372	9	9	35	52	37	53	17	17	9	6	2	4
lcl|NC_010296.1_cds_WP_012263818.1_56	lcl|NC_010296.1_cds_WP_012263818.1_56	1	1488	+	1488	68	125	112	4	4	8	37	23	26	0	4	3
lcl|NC_010296.1_cds_WP_012263819.1_57	lcl|NC_010296.1_cds_WP_012263819.1_57	1	189	+	189	0	6	0	0	0	0	1	0	4	0	0	0
lcl|NC_010296.1_cds_WP_231859621.1_58	lcl|NC_010296.1_cds_WP_231859621.1_58	1	144	+	144	5	10	16	0	0	0	9	4	4	0	0	0
lcl|NC_010296.1_cds_WP_012263821.1_60	lcl|NC_010296.1_cds_WP_012263821.1_60	1	150	+	150	134	207	254	28	6	42	34	64	48	3	5	6
lcl|NC_010296.1_cds_WP_002753002.1_63	lcl|NC_010296.1_cds_WP_002753002.1_63	1	258	+	258	57	65	54	199	179	269	73	26	15	16	9	32
lcl|NC_010296.1_cds_WP_012263827.1_64	lcl|NC_010296.1_cds_WP_012263827.1_64	1	960	+	960	141	119	139	913	789	1102	123	74	38	142	81	144
lcl|NC_010296.1_cds_WP_002797475.1_65	lcl|NC_010296.1_cds_WP_002797475.1_65	1	156	+	156	126	148	154	209	209	325	152	120	105	73	24	46
lcl|NC_010296.1_cds_WP_041803577.1_66	lcl|NC_010296.1_cds_WP_041803577.1_66	1	792	+	792	338	575	549	298	245	396	354	168	227	87	39	70
lcl|NC_010296.1_cds_WP_012263829.1_67	lcl|NC_010296.1_cds_WP_012263829.1_67	1	510	+	510	45	35	48	106	85	112	30	14	12	13	2	15
lcl|NC_010296.1_cds_WP_269453955.1_68	lcl|NC_010296.1_cds_WP_269453955.1_68	1	1611	+	1611	86	85	88	118	143	163	19	33	32	28	7	24
lcl|NC_010296.1_cds_WP_008205609.1_69	lcl|NC_010296.1_cds_WP_008205609.1_69	1	1026	+	1026	950	1356	1334	511	445	840	896	521	553	208	131	179
lcl|NC_010296.1_cds_WP_041803579.1_70	lcl|NC_010296.1_cds_WP_041803579.1_70	1	408	+	408	108	87	172	65	49	107	96	57	37	8	22	21
lcl|NC_010296.1_cds_WP_002761344.1_71	lcl|NC_010296.1_cds_WP_002761344.1_71	1	201	+	201	761	730	688	279	248	491	451	482	361	144	78	110
lcl|NC_010296.1_cds_WP_148204717.1_76	lcl|NC_010296.1_cds_WP_148204717.1_76	1	1224	+	1224	2121	2121	1796	407	407	905	684	751	920	208	267	303
lcl|NC_010296.1_cds_WP_012263836.1_77	lcl|NC_010296.1_cds_WP_012263836.1_77	1	222	+	222	69	80	78	13	10	16	24	37	24	2	0	0
lcl|NC_010296.1_cds_WP_002761352.1_78	lcl|NC_010296.1_cds_WP_002761352.1_78	1	1359	+	1359	2617	4233	4087	1168	919	1693	4011	1415	1499	495	218	396
lcl|NC_010296.1_cds_WP_012263837.1_79	lcl|NC_010296.1_cds_WP_012263837.1_79	1	876	+	876	505	826	744	336	186	506	487	259	290	111	86	122
lcl|NC_010296.1_cds_WP_012263839.1_81	lcl|NC_010296.1_cds_WP_012263839.1_81	1	2577	+	2577	4036	5912	5550	822	414	1244	7978	3767	3039	342	127	383
lcl|NC_010296.1_cds_MAE_RS00375_82	lcl|NC_010296.1_cds_MAE_RS00375_82	1	937	+	937	2044	3561	3043	388	323	655	2146	857	935	133	135	158
lcl|NC_010296.1_cds_WP_012263842.1_83	lcl|NC_010296.1_cds_WP_012263842.1_83	1	612	+	612	1138	1539	1683	551	370	676	837	645	551	231	172	234
lcl|NC_010296.1_cds_WP_012263843.1_84	lcl|NC_010296.1_cds_WP_012263843.1_84	1	2112	+	2112	645	770	771	316	239	474	372	515	528	147	148	155
lcl|NC_010296.1_cds_WP_012263845.1_86	lcl|NC_010296.1_cds_WP_012263845.1_86	1	1449	+	1449	76795	77021	71201	38133	30163	51245	109075	59235	61568	14388	5722	13243
lcl|NC_010296.1_cds_WP_002735380.1_87	lcl|NC_010296.1_cds_WP_002735380.1_87	1	417	+	417	21457	24724	24701	9357	7614	13188	17160	11564	13227	4013	2174	3882
lcl|NC_010296.1_cds_WP_002760450.1_88	lcl|NC_010296.1_cds_WP_002760450.1_88	1	324	+	324	2425	2799	3104	1892	1526	2639	2149	2106	2478	814	481	824
lcl|NC_010296.1_cds_WP_012263846.1_89	lcl|NC_010296.1_cds_WP_012263846.1_89	1	405	+	405	56	56	65	36	10	41	47	33	49	11	3	14
lcl|NC_010296.1_cds_WP_002760451.1_90	lcl|NC_010296.1_cds_WP_002760451.1_90	1	264	+	264	1783	2286	2025	872	674	1462	1143	708	957	259	154	232
lcl|NC_010296.1_cds_WP_002797493.1_91	lcl|NC_010296.1_cds_WP_002797493.1_91	1	1068	+	1068	3384	3518	3777	1728	1296	2370	2708	1896	2117	572	383	536
lcl|NC_010296.1_cds_WP_002794892.1_92	lcl|NC_010296.1_cds_WP_002794892.1_92	1	324	+	324	392	410	431	134	112	192	172	181	166	40	37	44
lcl|NC_010296.1_cds_WP_002754869.1_93	lcl|NC_010296.1_cds_WP_002754869.1_93	1	291	+	291	127	265	187	96	43	64	60	29	49	24	26	38
lcl|NC_010296.1_cds_WP_012263848.1_94	lcl|NC_010296.1_cds_WP_012263848.1_94	1	5292	+	5292	150	161	214	61	26	67	90	40	69	20	5	10
lcl|NC_010296.1_cds_WP_002797498.1_99	lcl|NC_010296.1_cds_WP_002797498.1_99	1	291	+	291	134	154	237	25	20	36	79	43	79	17	10	20
lcl|NC_010296.1_cds_WP_002797501.1_101	lcl|NC_010296.1_cds_WP_002797501.1_101	1	246	+	246	120	242	144	41	42	73	50	40	36	15	14	16
lcl|NC_010296.1_cds_WP_155120265.1_102	lcl|NC_010296.1_cds_WP_155120265.1_102	1	153	+	153	17	20	37	0	5	2	6	0	6	0	1	1
lcl|NC_010296.1_cds_WP_002762924.1_104	lcl|NC_010296.1_cds_WP_002762924.1_104	1	510	+	510	245	561	568	93	56	126	256	57	70	22	12	20
lcl|NC_010296.1_cds_WP_002797504.1_105	lcl|NC_010296.1_cds_WP_002797504.1_105	1	1608	+	1608	978	1979	1901	458	323	638	1130	328	354	150	114	121
lcl|NC_010296.1_cds_MAE_RS00485_106	lcl|NC_010296.1_cds_MAE_RS00485_106	1	1246	+	1246	707	1059	862	142	104	231	341	218	145	43	44	37
lcl|NC_010296.1_cds_WP_012263857.1_107	lcl|NC_010296.1_cds_WP_012263857.1_107	1	432	+	432	223	351	545	33	25	72	120	46	52	13	8	15
lcl|NC_010296.1_cds_WP_002762922.1_108	lcl|NC_010296.1_cds_WP_002762922.1_108	1	486	+	486	1027	1044	1049	537	406	751	506	328	315	125	60	106
lcl|NC_010296.1_cds_WP_012263858.1_109	lcl|NC_010296.1_cds_WP_012263858.1_109	1	1374	+	1374	1489	1733	1700	981	796	1346	1458	1005	931	292	246	327
lcl|NC_010296.1_cds_WP_002734380.1_110	lcl|NC_010296.1_cds_WP_002734380.1_110	1	309	+	309	105	458	174	35	30	41	196	46	44	18	16	25
lcl|NC_010296.1_cds_WP_012263859.1_112	lcl|NC_010296.1_cds_WP_012263859.1_112	1	1161	+	1161	181	498	301	34	28	67	241	59	86	27	9	27
lcl|NC_010296.1_cds_WP_002762913.1_113	lcl|NC_010296.1_cds_WP_002762913.1_113	1	1086	+	1086	119	246	207	25	27	64	70	25	46	12	6	32
lcl|NC_010296.1_cds_WP_041804484.1_116	lcl|NC_010296.1_cds_WP_041804484.1_116	1	225	+	225	450	772	582	390	260	570	227	146	191	72	66	68
lcl|NC_010296.1_cds_WP_002797515.1_117	lcl|NC_010296.1_cds_WP_002797515.1_117	1	1686	+	1686	32	33	19	13	5	14	25	18	14	3	16	8
lcl|NC_010296.1_cds_WP_002797516.1_118	lcl|NC_010296.1_cds_WP_002797516.1_118	1	1218	+	1218	2454	2672	2855	1504	1163	2108	3320	1909	2320	592	366	563
lcl|NC_010296.1_cds_WP_002797517.1_119	lcl|NC_010296.1_cds_WP_002797517.1_119	1	237	+	237	426	523	490	218	140	383	269	238	310	147	106	91
lcl|NC_010296.1_cds_WP_002797518.1_120	lcl|NC_010296.1_cds_WP_002797518.1_120	1	831	+	831	2765	3215	3378	350	234	810	2294	964	677	149	77	166
lcl|NC_010296.1_cds_WP_002797519.1_121	lcl|NC_010296.1_cds_WP_002797519.1_121	1	891	+	891	2453	3317	3848	1574	1091	2058	2660	1182	1354	412	228	433
lcl|NC_010296.1_cds_WP_012263865.1_122	lcl|NC_010296.1_cds_WP_012263865.1_122	1	1356	+	1356	82	89	48	43	19	61	34	61	28	14	6	33
lcl|NC_010296.1_cds_WP_012263866.1_123	lcl|NC_010296.1_cds_WP_012263866.1_123	1	843	+	843	18	14	27	7	5	5	7	7	2	2	1	1
lcl|NC_010296.1_cds_WP_012263867.1_124	lcl|NC_010296.1_cds_WP_012263867.1_124	1	2169	+	2169	2027	2572	2504	874	712	1453	1348	1153	1343	277	209	347
lcl|NC_010296.1_cds_WP_012263868.1_125	lcl|NC_010296.1_cds_WP_012263868.1_125	1	1725	+	1725	11243	12364	11156	5768	4854	9476	5025	3940	4499	1641	831	1507
lcl|NC_010296.1_cds_WP_012263869.1_126	lcl|NC_010296.1_cds_WP_012263869.1_126	1	327	+	327	110	150	128	47	31	81	66	40	29	35	7	26
lcl|NC_010296.1_cds_WP_012263870.1_127	lcl|NC_010296.1_cds_WP_012263870.1_127	1	378	+	378	55	60	66	10	11	25	15	19	7	4	2	0
lcl|NC_010296.1_cds_WP_041803595.1_128	lcl|NC_010296.1_cds_WP_041803595.1_128	1	237	+	237	56	31	30	13	16	43	6	29	12	6	16	4
lcl|NC_010296.1_cds_WP_012263872.1_129	lcl|NC_010296.1_cds_WP_012263872.1_129	1	435	+	435	28	26	30	4	7	7	4	3	7	6	0	2
lcl|NC_010296.1_cds_WP_002797529.1_130	lcl|NC_010296.1_cds_WP_002797529.1_130	1	228	+	228	39	31	25	2	4	7	9	24	27	4	0	1
lcl|NC_010296.1_cds_WP_012263873.1_131	lcl|NC_010296.1_cds_WP_012263873.1_131	1	300	+	300	8	14	10	3	1	5	0	2	0	0	0	0
lcl|NC_010296.1_cds_WP_231859689.1_132	lcl|NC_010296.1_cds_WP_231859689.1_132	1	285	+	285	9	11	8	1	1	1	0	2	1	0	0	2
lcl|NC_010296.1_cds_WP_012263878.1_134	lcl|NC_010296.1_cds_WP_012263878.1_134	1	1155	+	1155	373	712	490	45	39	95	202	185	169	16	22	23
lcl|NC_010296.1_cds_WP_076611860.1_137	lcl|NC_010296.1_cds_WP_076611860.1_137	1	951	+	951	696	856	771	185	143	368	312	259	292	60	50	65
lcl|NC_010296.1_cds_WP_012263884.1_139	lcl|NC_010296.1_cds_WP_012263884.1_139	1	630	+	630	2	17	3	0	0	0	12	14	16	0	2	1
lcl|NC_010296.1_cds_WP_012263885.1_140	lcl|NC_010296.1_cds_WP_012263885.1_140	1	561	+	561	0	2	0	1	0	1	6	6	2	0	0	0
lcl|NC_010296.1_cds_WP_012263886.1_141	lcl|NC_010296.1_cds_WP_012263886.1_141	1	312	+	312	0	1	2	0	0	0	1	1	0	0	0	0
lcl|NC_010296.1_cds_WP_041803602.1_144	lcl|NC_010296.1_cds_WP_041803602.1_144	1	468	+	468	0	0	0	0	0	0	0	0	0	0	0	0
lcl|NC_010296.1_cds_WP_148204718.1_146	lcl|NC_010296.1_cds_WP_148204718.1_146	1	189	+	189	0	0	0	0	0	0	0	0	0	0	0	0
lcl|NC_010296.1_cds_MAE_RS35965_148	lcl|NC_010296.1_cds_MAE_RS35965_148	1	249	+	249	45	58	50	11	9	19	26	29	31	0	4	0
lcl|NC_010296.1_cds_WP_002760310.1_149	lcl|NC_010296.1_cds_WP_002760310.1_149	1	207	+	207	95	105	133	28	19	28	47	46	25	7	11	5
lcl|NC_010296.1_cds_WP_041803605.1_150	lcl|NC_010296.1_cds_WP_041803605.1_150	1	234	+	234	102	260	212	20	12	28	23	16	10	9	6	6
lcl|NC_010296.1_cds_WP_002797545.1_151	lcl|NC_010296.1_cds_WP_002797545.1_151	1	327	+	327	179	353	242	35	35	35	121	38	40	13	20	11
lcl|NC_010296.1_cds_WP_041803606.1_155	lcl|NC_010296.1_cds_WP_041803606.1_155	1	345	+	345	556	765	848	15	14	75	323	94	90	7	8	14
lcl|NC_010296.1_cds_WP_043995636.1_156	lcl|NC_010296.1_cds_WP_043995636.1_156	1	246	+	246	124	244	204	7	16	37	55	16	7	4	6	10
lcl|NC_010296.1_cds_WP_002760312.1_157	lcl|NC_010296.1_cds_WP_002760312.1_157	1	240	+	240	155	193	196	6	10	25	42	11	13	3	18	5
lcl|NC_010296.1_cds_MAE_RS35970_159	lcl|NC_010296.1_cds_MAE_RS35970_159	1	626	+	626	76	107	89	13	17	34	25	13	21	14	17	3
lcl|NC_010296.1_cds_WP_041804488.1_160	lcl|NC_010296.1_cds_WP_041804488.1_160	1	1728	+	1728	1038	1135	1104	609	515	876	1099	905	979	300	168	271
lcl|NC_010296.1_cds_WP_002797549.1_161	lcl|NC_010296.1_cds_WP_002797549.1_161	1	651	+	651	426	460	428	249	167	404	244	182	188	74	54	66
lcl|NC_010296.1_cds_WP_012263904.1_162	lcl|NC_010296.1_cds_WP_012263904.1_162	1	1281	+	1281	1219	1714	1660	530	485	763	682	695	701	212	152	168
lcl|NC_010296.1_cds_WP_012263905.1_163	lcl|NC_010296.1_cds_WP_012263905.1_163	1	1911	+	1911	1349	1679	1878	784	516	882	726	446	551	141	121	136
lcl|NC_010296.1_cds_WP_012263906.1_164	lcl|NC_010296.1_cds_WP_012263906.1_164	1	309	+	309	101	123	91	20	7	29	76	36	42	11	11	11
lcl|NC_010296.1_cds_WP_012263909.1_168	lcl|NC_010296.1_cds_WP_012263909.1_168	1	825	+	825	517	696	687	173	74	197	216	113	111	45	20	38
lcl|NC_010296.1_cds_WP_012263910.1_169	lcl|NC_010296.1_cds_WP_012263910.1_169	1	1785	+	1785	73	116	130	26	13	31	58	37	54	1	14	8
lcl|NC_010296.1_cds_WP_002797556.1_171	lcl|NC_010296.1_cds_WP_002797556.1_171	1	279	+	279	68	193	154	57	41	77	85	65	48	25	18	20
lcl|NC_010296.1_cds_WP_002797558.1_172	lcl|NC_010296.1_cds_WP_002797558.1_172	1	777	+	777	1820	1773	2018	1119	985	1603	1980	1640	1655	725	465	634
lcl|NC_010296.1_cds_WP_002793163.1_173	lcl|NC_010296.1_cds_WP_002793163.1_173	1	678	+	678	1522	2804	2678	719	493	948	2010	745	832	273	221	229
lcl|NC_010296.1_cds_WP_012263911.1_174	lcl|NC_010296.1_cds_WP_012263911.1_174	1	1488	+	1488	570	847	773	249	163	363	347	240	307	92	60	78
lcl|NC_010296.1_cds_WP_012263912.1_175	lcl|NC_010296.1_cds_WP_012263912.1_175	1	585	+	585	363	395	374	74	44	118	97	72	50	18	12	35
lcl|NC_010296.1_cds_WP_012263915.1_178	lcl|NC_010296.1_cds_WP_012263915.1_178	1	1323	+	1323	278	394	343	131	68	217	157	121	117	38	34	32
lcl|NC_010296.1_cds_WP_002760345.1_179	lcl|NC_010296.1_cds_WP_002760345.1_179	1	894	+	894	333	334	340	118	121	269	197	160	165	50	18	60
lcl|NC_010296.1_cds_WP_002797576.1_180	lcl|NC_010296.1_cds_WP_002797576.1_180	1	987	+	987	4330	6412	6501	2689	2030	3609	3801	1666	1759	529	342	464
lcl|NC_010296.1_cds_WP_012263916.1_181	lcl|NC_010296.1_cds_WP_012263916.1_181	1	1965	+	1965	1730	1668	2258	720	526	1192	1296	981	872	279	124	263
lcl|NC_010296.1_cds_WP_041803608.1_182	lcl|NC_010296.1_cds_WP_041803608.1_182	1	1917	+	1917	793	808	806	404	335	653	273	422	378	164	73	122
lcl|NC_010296.1_cds_WP_002797581.1_184	lcl|NC_010296.1_cds_WP_002797581.1_184	1	552	+	552	1552	1381	1307	799	633	1444	505	585	616	219	179	185
lcl|NC_010296.1_cds_WP_002739790.1_185	lcl|NC_010296.1_cds_WP_002739790.1_185	1	405	+	405	183	160	153	55	66	112	97	58	76	25	10	15
lcl|NC_010296.1_cds_WP_002797582.1_186	lcl|NC_010296.1_cds_WP_002797582.1_186	1	1410	+	1410	379	430	454	142	129	288	384	267	346	55	40	57
lcl|NC_010296.1_cds_WP_012263921.1_187	lcl|NC_010296.1_cds_WP_012263921.1_187	1	1377	+	1377	462	530	559	124	99	207	193	143	172	54	44	76
lcl|NC_010296.1_cds_WP_002797584.1_188	lcl|NC_010296.1_cds_WP_002797584.1_188	1	1479	+	1479	369	462	418	174	109	236	169	297	317	91	81	76
lcl|NC_010296.1_cds_WP_012263922.1_189	lcl|NC_010296.1_cds_WP_012263922.1_189	1	792	+	792	395	427	458	153	145	292	195	269	270	95	52	88
lcl|NC_010296.1_cds_WP_002760364.1_190	lcl|NC_010296.1_cds_WP_002760364.1_190	1	1011	+	1011	866	1008	888	362	329	545	581	445	538	147	106	176
lcl|NC_010296.1_cds_WP_002760365.1_191	lcl|NC_010296.1_cds_WP_002760365.1_191	1	810	+	810	870	1291	1136	503	359	635	723	405	580	151	81	176
lcl|NC_010296.1_cds_WP_012263923.1_192	lcl|NC_010296.1_cds_WP_012263923.1_192	1	315	+	315	73	134	93	20	8	30	21	14	16	20	15	16
lcl|NC_010296.1_cds_WP_002797595.1_193	lcl|NC_010296.1_cds_WP_002797595.1_193	1	186	+	186	2	3	4	1	0	1	0	0	2	0	0	0
lcl|NC_010296.1_cds_WP_002797596.1_194	lcl|NC_010296.1_cds_WP_002797596.1_194	1	216	+	216	0	13	22	1	1	2	0	3	2	0	2	0
lcl|NC_010296.1_cds_WP_002793145.1_196	lcl|NC_010296.1_cds_WP_002793145.1_196	1	342	+	342	1	0	2	0	0	1	0	1	0	0	1	0
lcl|NC_010296.1_cds_WP_002797600.1_198	lcl|NC_010296.1_cds_WP_002797600.1_198	1	1206	+	1206	6346	6820	8169	2934	2115	4103	3793	2398	2735	767	429	708
lcl|NC_010296.1_cds_WP_012263925.1_199	lcl|NC_010296.1_cds_WP_012263925.1_199	1	1992	+	1992	3904	5276	4901	1794	1454	2464	3114	1791	2050	620	473	593
lcl|NC_010296.1_cds_WP_002736350.1_200	lcl|NC_010296.1_cds_WP_002736350.1_200	1	135	+	135	346	399	428	140	88	133	119	81	113	40	39	34
lcl|NC_010296.1_cds_WP_012263926.1_201	lcl|NC_010296.1_cds_WP_012263926.1_201	1	939	+	939	457	480	506	239	164	397	317	380	284	97	82	117
lcl|NC_010296.1_cds_WP_012263927.1_202	lcl|NC_010296.1_cds_WP_012263927.1_202	1	1128	+	1128	1634	1792	1826	877	625	1281	1269	950	1001	280	193	335
lcl|NC_010296.1_cds_WP_041803611.1_203	lcl|NC_010296.1_cds_WP_041803611.1_203	1	510	+	510	1309	1585	1508	863	650	1109	711	872	956	243	236	294
lcl|NC_010296.1_cds_WP_012263929.1_204	lcl|NC_010296.1_cds_WP_012263929.1_204	1	390	+	390	271	1132	810	48	38	57	559	56	75	13	16	18
lcl|NC_010296.1_cds_WP_012263930.1_205	lcl|NC_010296.1_cds_WP_012263930.1_205	1	1719	+	1719	709	1264	1202	296	286	450	782	509	582	153	118	127
lcl|NC_010296.1_cds_WP_012263931.1_206	lcl|NC_010296.1_cds_WP_012263931.1_206	1	864	+	864	546	616	712	280	168	365	272	302	300	109	66	112
lcl|NC_010296.1_cds_WP_002747361.1_207	lcl|NC_010296.1_cds_WP_002747361.1_207	1	384	+	384	415	487	451	200	134	252	163	179	161	75	59	49
lcl|NC_010296.1_cds_WP_002760397.1_208	lcl|NC_010296.1_cds_WP_002760397.1_208	1	1395	+	1395	6096	17133	10983	2235	1323	3063	13596	1536	1243	718	404	664
lcl|NC_010296.1_cds_WP_012263933.1_209	lcl|NC_010296.1_cds_WP_012263933.1_209	1	1746	+	1746	752	1193	1336	325	261	487	921	268	245	129	53	122
