Accession_ID	Chr	Start	End	Strand	Length	A_1_1	A_1_2	A_1_3	A_2_1	A_2_2	A_2_3	A_3_1	A_3_2	A_3_3	A_4_1	A_4_2	A_4_3	A_5_1	A_5_2	A_5_3	A_6_1	A_6_2	A_6_3	A_7_1	A_7_2	A_7_3	A_8_1	A_8_2	A_8_3
lcl|NC_010296.1_cds_WP_012263790.1_16	lcl|NC_010296.1_cds_WP_012263790.1_16	1	1095	+	1095	25433	27067	7796	19960	17048	6503	25411	31664	12261	24456	11454	7894	17263	12269	17596	7895	5058	5821	14545	19448	20123	6497	9941	3024
lcl|NC_010296.1_cds_WP_012263791.1_17	lcl|NC_010296.1_cds_WP_012263791.1_17	1	546	+	546	1209	872	640	552	575	365	539	1029	756	471	735	552	811	475	502	267	263	373	629	794	718	211	418	237
lcl|NC_010296.1_cds_WP_012263792.1_18	lcl|NC_010296.1_cds_WP_012263792.1_18	1	876	+	876	1569	1173	544	927	786	412	560	921	488	763	667	440	839	491	467	230	274	249	463	632	527	220	514	191
lcl|NC_010296.1_cds_WP_012263793.1_19	lcl|NC_010296.1_cds_WP_012263793.1_19	1	1074	+	1074	3965	3198	1666	2572	2143	1239	2580	3594	1902	2550	2043	1560	2625	1599	2069	927	704	899	1985	2777	2638	648	1164	566
lcl|NC_010296.1_cds_WP_002734814.1_21	lcl|NC_010296.1_cds_WP_002734814.1_21	1	261	+	261	17660	22089	20607	25387	17798	23412	27748	29048	22868	13136	22674	18158	8180	9003	16028	7612	4556	10403	10713	12052	13647	4670	5221	6268
lcl|NC_010296.1_cds_WP_002763481.1_22	lcl|NC_010296.1_cds_WP_002763481.1_22	1	147	+	147	529	599	51	280	247	43	300	475	66	579	79	53	290	224	232	106	60	30	200	262	301	84	91	14
lcl|NC_010296.1_cds_WP_012263794.1_23	lcl|NC_010296.1_cds_WP_012263794.1_23	1	1878	+	1878	7034	6754	2261	5748	4846	1964	6640	9116	3679	6298	3737	2254	4792	3366	4689	2218	1768	2186	4724	6320	6187	1585	2642	918
lcl|NC_010296.1_cds_WP_012263795.1_24	lcl|NC_010296.1_cds_WP_012263795.1_24	1	201	+	201	245	217	246	324	276	456	97	133	57	213	286	296	149	143	173	134	161	240	50	88	76	49	125	156
lcl|NC_010296.1_cds_WP_012263796.1_25	lcl|NC_010296.1_cds_WP_012263796.1_25	1	1593	+	1593	2317	2053	1101	1161	1005	639	1201	2008	1567	1046	1547	949	1535	961	842	438	429	670	1409	1736	1590	401	549	301
lcl|NC_010296.1_cds_WP_002797450.1_26	lcl|NC_010296.1_cds_WP_002797450.1_26	1	639	+	639	2529	1913	1316	1466	1119	765	1494	2074	1414	1161	1556	1019	1771	823	963	583	466	557	983	1281	1330	448	621	371
lcl|NC_010296.1_cds_WP_002797452.1_27	lcl|NC_010296.1_cds_WP_002797452.1_27	1	294	+	294	705	498	344	443	381	225	556	776	396	445	360	291	322	246	255	113	83	119	222	307	314	117	100	96
lcl|NC_010296.1_cds_WP_041804476.1_28	lcl|NC_010296.1_cds_WP_041804476.1_28	1	519	+	519	3322	1868	1900	1334	1158	885	1629	2217	1791	1313	1596	1280	2152	737	1069	546	359	714	901	1114	1091	446	717	428
lcl|NC_010296.1_cds_WP_002742402.1_29	lcl|NC_010296.1_cds_WP_002742402.1_29	1	657	+	657	1771	2065	1056	1724	1384	930	1828	2919	1148	1807	1382	1045	1174	812	1381	525	420	664	1239	1525	1409	443	678	338
lcl|NC_010296.1_cds_WP_002795704.1_31	lcl|NC_010296.1_cds_WP_002795704.1_31	1	753	+	753	1710	1797	1066	1195	1098	934	1564	2258	1375	1236	1367	1095	1181	630	727	379	401	502	1083	1329	1381	390	504	327
lcl|NC_010296.1_cds_WP_002795703.1_32	lcl|NC_010296.1_cds_WP_002795703.1_32	1	639	+	639	9269	12279	4747	9298	8503	4317	11739	15672	7402	9159	7907	6031	7448	4323	6704	3011	2485	3126	7016	8304	8518	2304	3299	1622
lcl|NC_010296.1_cds_MAE_RS28065_34	lcl|NC_010296.1_cds_MAE_RS28065_34	1	192	+	192	8	5	6	18	8	7	5	19	9	6	16	18	9	0	1	2	2	18	0	2	2	1	0	0
lcl|NC_010296.1_cds_WP_012263801.1_35	lcl|NC_010296.1_cds_WP_012263801.1_35	1	579	+	579	119	133	20	97	81	24	139	146	18	118	86	32	101	45	30	26	8	18	72	66	105	18	45	18
lcl|NC_010296.1_cds_WP_012263802.1_36	lcl|NC_010296.1_cds_WP_012263802.1_36	1	660	+	660	411	454	340	501	408	285	267	305	265	527	437	384	256	124	162	166	122	244	100	107	97	105	130	118
lcl|NC_010296.1_cds_WP_012263803.1_37	lcl|NC_010296.1_cds_WP_012263803.1_37	1	813	+	813	141	85	38	183	157	96	65	105	39	132	131	75	107	32	49	47	34	37	14	21	31	22	112	26
lcl|NC_010296.1_cds_WP_041803571.1_39	lcl|NC_010296.1_cds_WP_041803571.1_39	1	234	+	234	46	44	12	35	15	17	15	31	17	22	24	11	17	7	21	4	0	7	3	12	6	0	10	3
lcl|NC_010296.1_cds_WP_012263807.1_41	lcl|NC_010296.1_cds_WP_012263807.1_41	1	171	+	171	59	90	2	230	189	4	57	102	0	321	2	2	44	4	8	2	4	4	2	10	5	6	8	0
lcl|NC_010296.1_cds_WP_002797460.1_42	lcl|NC_010296.1_cds_WP_002797460.1_42	1	186	+	186	6916	11832	3720	10664	7154	4725	4124	3575	2272	16488	6831	6519	4028	2396	4529	3346	2485	4140	551	952	1017	2578	1978	1245
lcl|NC_010296.1_cds_WP_002802526.1_43	lcl|NC_010296.1_cds_WP_002802526.1_43	1	138	+	138	127	158	80	189	202	155	67	67	5	219	65	34	120	57	149	99	26	25	17	23	38	47	33	29
lcl|NC_010296.1_cds_WP_002797461.1_44	lcl|NC_010296.1_cds_WP_002797461.1_44	1	285	+	285	2513	4414	938	2452	1500	582	2024	2216	1408	3676	1260	1209	1074	483	781	797	469	627	450	687	695	948	510	265
lcl|NC_010296.1_cds_WP_002797462.1_45	lcl|NC_010296.1_cds_WP_002797462.1_45	1	297	+	297	148	124	195	158	124	191	64	122	97	105	239	222	69	37	79	70	72	117	41	57	59	51	55	47
lcl|NC_010296.1_cds_WP_070108813.1_46	lcl|NC_010296.1_cds_WP_070108813.1_46	1	156	+	156	134	147	53	228	155	95	82	109	32	178	76	61	118	30	64	21	7	4	12	38	26	37	68	0
lcl|NC_010296.1_cds_WP_012263812.1_47	lcl|NC_010296.1_cds_WP_012263812.1_47	1	393	+	393	198	287	309	596	378	744	62	122	103	503	619	678	235	177	171	227	189	163	42	56	62	99	127	175
lcl|NC_010296.1_cds_WP_002802537.1_48	lcl|NC_010296.1_cds_WP_002802537.1_48	1	444	+	444	209	245	196	425	364	437	68	119	47	461	396	448	200	150	132	220	165	143	42	48	58	105	143	116
lcl|NC_010296.1_cds_WP_012263813.1_49	lcl|NC_010296.1_cds_WP_012263813.1_49	1	897	+	897	398	478	305	702	619	606	125	241	135	707	699	637	234	213	144	213	157	247	106	102	82	154	211	146
lcl|NC_010296.1_cds_MAE_RS00225_50	lcl|NC_010296.1_cds_MAE_RS00225_50	1	321	+	321	272	222	135	438	329	254	159	228	134	333	233	195	183	63	118	91	40	89	59	55	86	62	64	33
lcl|NC_010296.1_cds_WP_002753010.1_51	lcl|NC_010296.1_cds_WP_002753010.1_51	1	669	+	669	471	583	420	964	749	917	543	760	456	781	759	693	427	238	234	250	208	302	251	240	222	190	196	150
lcl|NC_010296.1_cds_WP_012263814.1_52	lcl|NC_010296.1_cds_WP_012263814.1_52	1	447	+	447	638	737	293	834	614	326	384	376	278	895	446	319	415	241	172	270	203	232	115	129	149	163	185	82
lcl|NC_010296.1_cds_WP_012263815.1_53	lcl|NC_010296.1_cds_WP_012263815.1_53	1	570	+	570	297	321	168	453	383	338	145	266	126	547	396	296	270	163	162	168	104	80	87	73	95	93	130	67
lcl|NC_010296.1_cds_WP_012263816.1_54	lcl|NC_010296.1_cds_WP_012263816.1_54	1	372	+	372	403	693	115	211	239	41	142	255	121	475	156	124	229	65	99	90	73	72	65	58	55	163	55	33
lcl|NC_010296.1_cds_WP_012263818.1_56	lcl|NC_010296.1_cds_WP_012263818.1_56	1	1488	+	1488	94	125	72	73	41	46	17	52	22	18	34	40	147	0	2	0	4	4	24	14	12	8	0	0
lcl|NC_010296.1_cds_WP_012263819.1_57	lcl|NC_010296.1_cds_WP_012263819.1_57	1	189	+	189	8	10	1	9	8	4	2	3	4	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0
lcl|NC_010296.1_cds_WP_231859621.1_58	lcl|NC_010296.1_cds_WP_231859621.1_58	1	144	+	144	4	5	6	7	4	2	0	3	1	6	2	4	5	0	0	0	0	0	0	0	0	0	0	0
lcl|NC_010296.1_cds_WP_012263821.1_60	lcl|NC_010296.1_cds_WP_012263821.1_60	1	150	+	150	1168	1526	144	1287	975	92	1342	1307	74	1421	95	168	705	168	306	143	140	64	280	481	399	242	128	14
lcl|NC_010296.1_cds_WP_002753002.1_63	lcl|NC_010296.1_cds_WP_002753002.1_63	1	258	+	258	459	405	185	998	868	404	760	915	303	987	418	299	387	226	132	292	247	129	325	328	323	135	193	82
lcl|NC_010296.1_cds_WP_012263827.1_64	lcl|NC_010296.1_cds_WP_012263827.1_64	1	960	+	960	1248	1558	716	2835	2507	1428	759	1467	403	2205	1376	1253	940	778	577	772	826	486	311	325	381	299	616	290
lcl|NC_010296.1_cds_WP_002797475.1_65	lcl|NC_010296.1_cds_WP_002797475.1_65	1	156	+	156	6438	9072	1443	12804	10790	3342	4895	5517	1300	10780	2757	2534	5080	4154	7136	4949	2972	2718	1960	2186	2125	1935	3017	661
lcl|NC_010296.1_cds_WP_041803577.1_66	lcl|NC_010296.1_cds_WP_041803577.1_66	1	792	+	792	1955	2565	682	3892	3466	1500	2210	2975	800	3503	1569	1322	1249	631	897	870	854	672	890	1118	1081	381	556	241
lcl|NC_010296.1_cds_WP_012263829.1_67	lcl|NC_010296.1_cds_WP_012263829.1_67	1	510	+	510	203	226	101	468	427	185	210	333	92	319	293	152	120	107	71	121	87	61	124	130	159	43	58	46
lcl|NC_010296.1_cds_WP_269453955.1_68	lcl|NC_010296.1_cds_WP_269453955.1_68	1	1611	+	1611	495	594	226	965	772	401	181	371	118	767	420	384	279	227	213	248	207	145	91	81	150	138	120	93
lcl|NC_010296.1_cds_WP_008205609.1_69	lcl|NC_010296.1_cds_WP_008205609.1_69	1	1026	+	1026	6566	6762	2556	6097	5391	2496	6710	8238	3854	5983	3434	2526	4397	2617	3629	2095	1415	1834	3601	4529	4645	1404	1951	838
lcl|NC_010296.1_cds_WP_041803579.1_70	lcl|NC_010296.1_cds_WP_041803579.1_70	1	408	+	408	574	582	191	556	444	168	253	490	207	715	262	212	381	145	175	136	46	83	84	98	105	176	187	50
lcl|NC_010296.1_cds_WP_002761344.1_71	lcl|NC_010296.1_cds_WP_002761344.1_71	1	201	+	201	5021	7098	2869	3462	2692	2013	2008	2331	1160	4883	2852	2650	2872	521	1040	579	553	541	388	770	721	741	628	353
lcl|NC_010296.1_cds_WP_148204717.1_76	lcl|NC_010296.1_cds_WP_148204717.1_76	1	1224	+	1224	13797	14768	5763	10309	6656	3994	17437	21295	12439	11093	6266	5162	8461	3261	4730	2338	1640	2884	7713	11008	10488	2136	1781	971
lcl|NC_010296.1_cds_WP_012263836.1_77	lcl|NC_010296.1_cds_WP_012263836.1_77	1	222	+	222	213	336	143	222	197	91	96	107	26	291	148	112	191	19	67	29	26	14	12	41	23	43	65	16
lcl|NC_010296.1_cds_WP_002761352.1_78	lcl|NC_010296.1_cds_WP_002761352.1_78	1	1359	+	1359	13117	14705	6343	13338	11587	6405	20300	26333	12711	15324	9178	7962	10161	6835	8600	4699	3696	3686	12730	16079	17099	4194	4744	2437
lcl|NC_010296.1_cds_WP_012263837.1_79	lcl|NC_010296.1_cds_WP_012263837.1_79	1	876	+	876	2704	3251	2167	2690	2335	1873	2859	4656	2721	3106	2710	2230	1943	1107	1644	858	909	953	2196	2878	3052	888	981	782
lcl|NC_010296.1_cds_WP_012263839.1_81	lcl|NC_010296.1_cds_WP_012263839.1_81	1	2577	+	2577	4660	17548	6224	4787	4146	2696	10099	13389	9262	8938	3214	4821	3021	1426	2427	1548	842	1592	3318	4895	5204	5346	1164	2102
lcl|NC_010296.1_cds_MAE_RS00375_82	lcl|NC_010296.1_cds_MAE_RS00375_82	1	937	+	937	7517	11235	5994	10922	8569	7226	11142	13699	9562	8603	8556	6798	6515	2781	4972	2277	1656	2825	4272	5518	5754	857	601	556
lcl|NC_010296.1_cds_WP_012263842.1_83	lcl|NC_010296.1_cds_WP_012263842.1_83	1	612	+	612	8476	9342	4677	6611	5838	3919	7407	8846	5160	6713	5884	4976	5413	3720	5991	2424	1688	2371	4056	4608	4873	1673	1987	1237
lcl|NC_010296.1_cds_WP_012263843.1_84	lcl|NC_010296.1_cds_WP_012263843.1_84	1	2112	+	2112	8439	6954	3683	5342	4366	2544	6596	8481	4442	5050	3761	2810	5441	2792	4410	1979	1419	2019	3821	5118	4954	1285	2204	1069
lcl|NC_010296.1_cds_WP_012263845.1_86	lcl|NC_010296.1_cds_WP_012263845.1_86	1	1449	+	1449	202803	93173	99592	44792	40787	30400	110592	152034	89659	45667	42270	34754	130748	39619	32889	18039	16619	16010	52417	65089	65102	18577	26194	17440
lcl|NC_010296.1_cds_WP_002735380.1_87	lcl|NC_010296.1_cds_WP_002735380.1_87	1	417	+	417	71386	33040	33775	16659	13946	11093	39123	48098	27586	16219	15687	12406	39798	12085	11442	5824	4611	5420	12416	17279	16716	5794	8374	5685
lcl|NC_010296.1_cds_WP_002760450.1_88	lcl|NC_010296.1_cds_WP_002760450.1_88	1	324	+	324	28020	17522	16504	14698	12775	10268	14122	20828	20512	10375	19717	12724	21640	9044	14661	5653	6732	11244	13760	19934	17934	4245	7152	5385
lcl|NC_010296.1_cds_WP_012263846.1_89	lcl|NC_010296.1_cds_WP_012263846.1_89	1	405	+	405	486	445	143	288	263	82	237	398	170	400	194	116	311	130	171	49	48	79	192	245	184	118	94	46
lcl|NC_010296.1_cds_WP_002760451.1_90	lcl|NC_010296.1_cds_WP_002760451.1_90	1	264	+	264	14041	15583	6653	13363	10210	6559	17577	18526	15085	14872	11313	7443	9395	5940	7603	4801	3172	6887	7560	9102	9086	3474	4310	2236
lcl|NC_010296.1_cds_WP_002797493.1_91	lcl|NC_010296.1_cds_WP_002797493.1_91	1	1068	+	1068	16848	15147	9768	9494	7880	5424	10904	14349	7947	10164	9116	6668	11333	5479	7076	3305	2562	2927	6449	8839	9171	2823	3962	2464
lcl|NC_010296.1_cds_WP_002794892.1_92	lcl|NC_010296.1_cds_WP_002794892.1_92	1	324	+	324	6773	7480	2593	3798	2878	1492	3680	3721	1486	3355	1775	1733	3966	2545	3883	1499	888	1576	1858	2369	2806	1101	1315	697
lcl|NC_010296.1_cds_WP_002754869.1_93	lcl|NC_010296.1_cds_WP_002754869.1_93	1	291	+	291	461	876	721	546	385	579	854	830	750	527	814	744	272	252	460	220	223	443	326	577	429	171	170	251
lcl|NC_010296.1_cds_WP_012263848.1_94	lcl|NC_010296.1_cds_WP_012263848.1_94	1	5292	+	5292	1287	1397	724	1145	863	467	962	1190	609	1050	727	579	641	447	583	420	238	301	437	519	548	333	378	164
lcl|NC_010296.1_cds_WP_002797498.1_99	lcl|NC_010296.1_cds_WP_002797498.1_99	1	291	+	291	1914	1650	536	2080	1594	592	2580	2711	1706	1470	720	474	973	824	903	769	455	598	680	890	1022	326	429	172
lcl|NC_010296.1_cds_WP_002797501.1_101	lcl|NC_010296.1_cds_WP_002797501.1_101	1	246	+	246	119	79	140	113	122	203	26	67	58	62	162	169	65	4	10	5	17	15	14	26	21	0	8	8
lcl|NC_010296.1_cds_WP_155120265.1_102	lcl|NC_010296.1_cds_WP_155120265.1_102	1	153	+	153	36	56	7	26	34	10	22	37	5	25	14	14	13	0	2	14	11	2	16	22	25	12	12	3
lcl|NC_010296.1_cds_WP_002762924.1_104	lcl|NC_010296.1_cds_WP_002762924.1_104	1	510	+	510	553	2574	1120	3640	3362	2938	1915	2391	1678	5083	4359	4032	326	843	1127	1024	805	1180	937	1120	1243	1041	780	769
lcl|NC_010296.1_cds_WP_002797504.1_105	lcl|NC_010296.1_cds_WP_002797504.1_105	1	1608	+	1608	3104	8928	3157	10614	9574	6601	6980	9072	5052	16456	9664	9996	2037	2947	4220	2746	2110	2990	3647	4383	5118	3389	2712	2201
lcl|NC_010296.1_cds_MAE_RS00485_106	lcl|NC_010296.1_cds_MAE_RS00485_106	1	1246	+	1246	1562	3761	1903	1585	1317	1261	1225	1458	1187	4248	2766	2867	937	294	489	405	295	462	254	372	402	711	374	404
lcl|NC_010296.1_cds_WP_012263857.1_107	lcl|NC_010296.1_cds_WP_012263857.1_107	1	432	+	432	137	268	185	151	93	72	119	108	150	223	233	173	106	20	16	33	45	65	19	55	23	72	33	47
lcl|NC_010296.1_cds_WP_002762922.1_108	lcl|NC_010296.1_cds_WP_002762922.1_108	1	486	+	486	2505	3345	1690	2531	2192	1552	2311	3397	2015	2606	2996	2091	1631	1182	1573	863	598	991	1166	1470	1602	873	804	568
lcl|NC_010296.1_cds_WP_012263858.1_109	lcl|NC_010296.1_cds_WP_012263858.1_109	1	1374	+	1374	9739	11975	4746	9364	8048	4366	12934	15449	6238	9665	6086	4966	6669	4794	7301	3354	2381	3362	7375	9066	9650	2747	3671	1699
lcl|NC_010296.1_cds_WP_002734380.1_110	lcl|NC_010296.1_cds_WP_002734380.1_110	1	309	+	309	3423	7993	913	4679	3693	834	5994	6408	1028	8374	1177	1116	2399	2646	4407	1693	1028	645	3115	4523	4790	1480	1428	317
lcl|NC_010296.1_cds_WP_012263859.1_112	lcl|NC_010296.1_cds_WP_012263859.1_112	1	1161	+	1161	702	1745	521	1371	1076	554	1889	2727	1389	1415	980	841	378	920	1122	512	438	799	1580	2236	2404	571	395	306
lcl|NC_010296.1_cds_WP_002762913.1_113	lcl|NC_010296.1_cds_WP_002762913.1_113	1	1086	+	1086	468	853	442	707	530	550	785	1067	792	998	822	711	244	395	781	316	277	457	715	957	877	230	227	221
lcl|NC_010296.1_cds_WP_041804484.1_116	lcl|NC_010296.1_cds_WP_041804484.1_116	1	225	+	225	3720	3024	3025	1985	1643	2235	1737	1892	2129	2971	4404	3535	1771	685	1484	481	413	944	550	864	855	751	1054	1144
lcl|NC_010296.1_cds_WP_002797515.1_117	lcl|NC_010296.1_cds_WP_002797515.1_117	1	1686	+	1686	191	242	80	86	66	57	33	64	76	127	135	96	137	48	71	33	42	40	31	30	41	52	35	20
lcl|NC_010296.1_cds_WP_002797516.1_118	lcl|NC_010296.1_cds_WP_002797516.1_118	1	1218	+	1218	19024	18219	6896	11604	11080	5060	16113	23242	8155	16655	8719	6361	15331	9065	11910	4808	4496	4302	14298	20140	19843	4333	6151	2671
lcl|NC_010296.1_cds_WP_002797517.1_119	lcl|NC_010296.1_cds_WP_002797517.1_119	1	237	+	237	4821	4404	2411	2800	2512	1617	2896	3527	1850	2819	3731	2356	3717	1267	2669	894	822	1604	2062	2910	2647	789	1653	1000
lcl|NC_010296.1_cds_WP_002797518.1_120	lcl|NC_010296.1_cds_WP_002797518.1_120	1	831	+	831	3214	8180	1898	4013	4389	1623	2875	5011	2204	6922	3476	2819	2312	505	479	481	463	462	642	788	757	859	544	295
lcl|NC_010296.1_cds_WP_002797519.1_121	lcl|NC_010296.1_cds_WP_002797519.1_121	1	891	+	891	5649	11395	3162	7710	6619	3316	13198	16409	7081	9222	4426	3634	3717	3011	3220	2162	1631	1554	5178	6378	6759	2243	1902	941
lcl|NC_010296.1_cds_WP_012263865.1_122	lcl|NC_010296.1_cds_WP_012263865.1_122	1	1356	+	1356	528	657	427	514	384	404	300	516	560	698	570	563	235	237	320	179	151	205	175	223	250	175	80	126
lcl|NC_010296.1_cds_WP_012263866.1_123	lcl|NC_010296.1_cds_WP_012263866.1_123	1	843	+	843	54	103	88	99	43	55	54	91	56	86	113	115	42	39	88	23	26	7	42	55	44	9	15	23
lcl|NC_010296.1_cds_WP_012263867.1_124	lcl|NC_010296.1_cds_WP_012263867.1_124	1	2169	+	2169	11259	15209	5520	12743	11020	6190	12382	15791	8517	15134	8605	7503	6452	4885	5876	4252	3130	3619	5316	6848	7277	4239	4644	2415
lcl|NC_010296.1_cds_WP_012263868.1_125	lcl|NC_010296.1_cds_WP_012263868.1_125	1	1725	+	1725	15428	20239	10751	17688	14647	11666	24530	33393	18515	16427	15157	12206	9117	6461	5636	5108	5115	4309	12931	16715	14858	4114	5199	3763
lcl|NC_010296.1_cds_WP_012263869.1_126	lcl|NC_010296.1_cds_WP_012263869.1_126	1	327	+	327	2069	2309	1016	1945	1577	1058	764	801	409	1597	1389	968	1232	1313	2374	868	348	1007	112	205	252	805	2013	822
lcl|NC_010296.1_cds_WP_012263870.1_127	lcl|NC_010296.1_cds_WP_012263870.1_127	1	378	+	378	36	55	71	55	70	96	8	25	24	41	88	105	15	16	36	12	4	8	11	14	16	12	27	24
lcl|NC_010296.1_cds_WP_041803595.1_128	lcl|NC_010296.1_cds_WP_041803595.1_128	1	237	+	237	129	185	100	196	167	112	95	118	45	167	184	146	63	88	109	33	17	38	40	53	44	46	40	31
lcl|NC_010296.1_cds_WP_012263872.1_129	lcl|NC_010296.1_cds_WP_012263872.1_129	1	435	+	435	29	34	9	41	30	24	20	16	16	19	21	19	12	26	25	16	9	14	10	7	8	5	9	8
lcl|NC_010296.1_cds_WP_002797529.1_130	lcl|NC_010296.1_cds_WP_002797529.1_130	1	228	+	228	230	359	29	140	209	18	117	213	34	652	101	50	83	55	42	32	11	26	22	36	51	33	6	0
lcl|NC_010296.1_cds_WP_012263873.1_131	lcl|NC_010296.1_cds_WP_012263873.1_131	1	300	+	300	23	69	26	20	10	7	15	28	8	48	28	33	8	3	1	5	2	0	2	6	0	20	0	2
lcl|NC_010296.1_cds_WP_231859689.1_132	lcl|NC_010296.1_cds_WP_231859689.1_132	1	285	+	285	73	222	39	126	88	22	79	76	16	223	78	42	38	18	51	8	4	12	15	10	22	13	12	4
lcl|NC_010296.1_cds_WP_012263878.1_134	lcl|NC_010296.1_cds_WP_012263878.1_134	1	1155	+	1155	2684	3656	1192	1948	1777	875	2188	2798	2081	2965	1825	1140	1465	1413	1613	659	745	1111	1225	1816	1782	707	493	344
lcl|NC_010296.1_cds_WP_076611860.1_137	lcl|NC_010296.1_cds_WP_076611860.1_137	1	951	+	951	6607	8911	2880	4497	3576	1746	4756	5664	2698	7040	2836	2497	3570	2221	2641	1469	1052	1317	1937	2784	3039	1964	1677	928
lcl|NC_010296.1_cds_WP_012263884.1_139	lcl|NC_010296.1_cds_WP_012263884.1_139	1	630	+	630	160	3478	1093	3077	3252	1904	1085	1234	1221	2343	1794	1781	100	1349	3051	881	691	796	335	575	488	1758	301	660
lcl|NC_010296.1_cds_WP_012263885.1_140	lcl|NC_010296.1_cds_WP_012263885.1_140	1	561	+	561	97	2148	455	1716	1923	848	566	740	521	1611	811	592	69	929	1047	445	394	267	140	299	315	851	149	280
lcl|NC_010296.1_cds_WP_012263886.1_141	lcl|NC_010296.1_cds_WP_012263886.1_141	1	312	+	312	2	42	2	28	32	4	24	26	0	30	0	0	0	0	20	6	2	0	4	8	10	10	4	2
lcl|NC_010296.1_cds_WP_041803602.1_144	lcl|NC_010296.1_cds_WP_041803602.1_144	1	468	+	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
lcl|NC_010296.1_cds_WP_148204718.1_146	lcl|NC_010296.1_cds_WP_148204718.1_146	1	189	+	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|NC_010296.1_cds_MAE_RS35965_148	lcl|NC_010296.1_cds_MAE_RS35965_148	1	249	+	249	114	174	64	173	177	62	160	203	104	141	124	92	51	75	45	45	33	25	62	81	92	19	11	8
lcl|NC_010296.1_cds_WP_002760310.1_149	lcl|NC_010296.1_cds_WP_002760310.1_149	1	207	+	207	634	1278	291	694	653	235	533	629	476	844	354	260	378	289	311	228	148	237	182	276	290	198	192	101
lcl|NC_010296.1_cds_WP_041803605.1_150	lcl|NC_010296.1_cds_WP_041803605.1_150	1	234	+	234	70	166	88	111	122	174	142	140	82	128	135	104	51	31	78	75	27	52	52	74	58	36	26	46
lcl|NC_010296.1_cds_WP_002797545.1_151	lcl|NC_010296.1_cds_WP_002797545.1_151	1	327	+	327	962	1641	229	991	952	317	867	1021	346	1621	639	401	463	345	449	325	172	369	260	384	377	351	269	108
