# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/phage_pangenome.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/FC/TAIHU_all_featurecounts.txt" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_3.sam" 
Geneid	Chr	Start	End	Strand	Length	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_3.sam
lcl|NC_008562.1_cds_YP_851042.1_28.1	lcl|NC_008562.1_cds_YP_851042.1_28	1	495	+	495	79	74	57	171	158	169	116	128	40	204	80	79	59	65	232	258	196	184	76	76	91	204	145	157
lcl|NC_008562.1_cds_YP_851043.1_29.1	lcl|NC_008562.1_cds_YP_851043.1_29	1	591	+	591	92	60	48	232	155	171	84	117	53	107	100	81	43	77	167	174	176	207	93	76	90	178	109	111
lcl|NC_008562.1_cds_YP_851044.1_30.1	lcl|NC_008562.1_cds_YP_851044.1_30	1	1521	+	1521	2314	1765	959	3657	2944	1859	2217	2582	994	2379	1231	1366	1837	3130	7660	6014	5067	4699	2166	2649	3020	3500	3937	2452
lcl|NC_008562.1_cds_YP_851045.1_31.1	lcl|NC_008562.1_cds_YP_851045.1_31	1	1230	+	1230	1647	2638	1997	903	794	1110	723	729	536	1831	2391	2184	872	151	496	161	112	129	159	191	175	217	182	206
lcl|NC_008562.1_cds_YP_851046.1_32.1	lcl|NC_008562.1_cds_YP_851046.1_32	1	420	+	420	29	19	13	14	14	10	14	30	4	15	24	6	8	15	11	2	0	0	13	2	5	6	6	2
lcl|NC_008562.1_cds_YP_851048.1_34.1	lcl|NC_008562.1_cds_YP_851048.1_34	1	249	+	249	224	134	67	592	540	141	242	225	87	317	133	101	202	214	680	791	729	836	189	207	250	385	563	139
lcl|NC_008562.1_cds_YP_851049.1_35.1	lcl|NC_008562.1_cds_YP_851049.1_35	1	333	+	333	122	88	43	344	239	108	88	90	32	516	55	94	78	119	284	497	387	314	90	94	88	267	222	93
lcl|NC_008562.1_cds_YP_851050.1_36.1	lcl|NC_008562.1_cds_YP_851050.1_36	1	684	+	684	221	125	46	373	394	146	208	243	68	622	100	141	115	190	461	532	393	429	140	145	231	369	338	140
lcl|NC_008562.1_cds_YP_851051.1_37.1	lcl|NC_008562.1_cds_YP_851051.1_37	1	741	+	741	24	17	9	38	16	33	28	17	11	41	19	29	23	38	46	49	35	18	11	13	18	53	73	24
lcl|NC_008562.1_cds_YP_851052.1_38.1	lcl|NC_008562.1_cds_YP_851052.1_38	1	126	+	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|NC_008562.1_cds_YP_851053.1_39.1	lcl|NC_008562.1_cds_YP_851053.1_39	1	471	+	471	193	119	115	265	196	214	138	98	25	239	186	265	109	226	426	424	402	348	85	98	99	259	305	318
lcl|NC_008562.1_cds_YP_851054.1_40.1	lcl|NC_008562.1_cds_YP_851054.1_40	1	432	+	432	56	91	25	35	13	8	101	91	22	22	16	4	33	76	154	47	43	35	45	87	77	29	87	25
lcl|NC_008562.1_cds_YP_851055.1_41.1	lcl|NC_008562.1_cds_YP_851055.1_41	1	768	+	768	57	60	15	62	48	5	82	122	34	67	12	5	67	111	132	43	38	29	76	96	85	90	105	15
lcl|NC_008562.1_cds_YP_851056.1_42.1	lcl|NC_008562.1_cds_YP_851056.1_42	1	489	+	489	25	28	12	25	12	14	27	49	24	13	7	10	7	40	72	41	44	29	35	28	17	55	41	18
lcl|NC_008562.1_cds_YP_851057.1_43.1	lcl|NC_008562.1_cds_YP_851057.1_43	1	198	+	198	1456	998	208	1458	532	248	422	324	114	1007	321	187	1092	1102	3979	1113	670	1173	323	430	445	1160	1398	362
lcl|NC_008562.1_cds_YP_851058.1_44.1	lcl|NC_008562.1_cds_YP_851058.1_44	1	243	+	243	222	94	56	125	64	36	123	86	25	114	34	36	132	169	821	83	146	145	46	78	75	191	229	93
lcl|NC_008562.1_cds_YP_851059.1_45.1	lcl|NC_008562.1_cds_YP_851059.1_45	1	942	+	942	330	200	151	545	537	393	179	184	85	651	321	337	211	262	756	804	743	841	137	218	184	569	704	447
lcl|NC_008562.1_cds_YP_851060.1_46.1	lcl|NC_008562.1_cds_YP_851060.1_46	1	216	+	216	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
lcl|NC_008562.1_cds_YP_851061.1_47.1	lcl|NC_008562.1_cds_YP_851061.1_47	1	162	+	162	5	13	7	21	17	11	9	18	5	23	6	4	3	6	29	22	26	31	3	14	6	5	13	10
lcl|NC_008562.1_cds_YP_851063.1_49.1	lcl|NC_008562.1_cds_YP_851063.1_49	1	138	+	138	1	0	0	11	0	2	7	1	0	2	0	5	0	0	2	2	0	0	0	0	2	0	2	0
lcl|NC_008562.1_cds_YP_851064.1_50.1	lcl|NC_008562.1_cds_YP_851064.1_50	1	213	+	213	0	1	3	0	2	3	8	4	1	0	2	2	6	0	2	0	0	0	6	0	1	0	0	0
lcl|NC_008562.1_cds_YP_851065.1_51.1	lcl|NC_008562.1_cds_YP_851065.1_51	1	684	+	684	136	129	104	372	398	272	181	216	102	283	129	188	118	178	582	578	468	281	169	221	181	412	318	300
lcl|NC_008562.1_cds_YP_851066.1_52.1	lcl|NC_008562.1_cds_YP_851066.1_52	1	231	+	231	51	8	15	133	146	36	95	58	10	157	15	14	41	39	102	226	200	80	75	61	66	130	101	45
lcl|NC_008562.1_cds_YP_851067.1_53.1	lcl|NC_008562.1_cds_YP_851067.1_53	1	408	+	408	138	119	34	441	350	121	315	260	101	709	96	121	99	208	381	592	488	279	144	205	176	438	306	100
lcl|NC_008562.1_cds_YP_851068.1_54.1	lcl|NC_008562.1_cds_YP_851068.1_54	1	531	+	531	192	85	136	387	315	295	202	306	136	330	137	201	115	140	489	375	343	492	121	187	119	309	151	245
lcl|NC_008562.1_cds_YP_851069.1_55.1	lcl|NC_008562.1_cds_YP_851069.1_55	1	177	+	177	16	8	12	19	21	17	21	13	11	23	7	10	27	6	46	16	24	22	9	16	2	6	15	10
lcl|NC_008562.1_cds_YP_851070.1_56.1	lcl|NC_008562.1_cds_YP_851070.1_56	1	252	+	252	45	32	33	66	59	70	61	32	35	82	71	68	32	38	132	84	80	64	31	21	26	69	46	84
lcl|NC_008562.1_cds_YP_851071.1_57.1	lcl|NC_008562.1_cds_YP_851071.1_57	1	1047	+	1047	183	163	107	345	301	242	235	211	82	475	174	233	105	218	886	667	369	628	116	171	192	312	350	255
lcl|NC_008562.1_cds_YP_851073.1_59.1	lcl|NC_008562.1_cds_YP_851073.1_59	1	597	+	597	78	31	33	191	130	76	85	78	32	185	32	52	64	74	119	228	146	217	44	67	68	52	112	65
lcl|NC_008562.1_cds_YP_851074.1_60.1	lcl|NC_008562.1_cds_YP_851074.1_60	1	405	+	405	8	1	11	12	18	7	15	16	16	33	1	12	14	18	14	53	17	18	17	12	14	28	22	9
lcl|NC_008562.1_cds_YP_851075.1_61.1	lcl|NC_008562.1_cds_YP_851075.1_61	1	465	+	465	27	2	6	107	30	55	11	12	5	31	38	14	17	8	12	85	97	44	11	20	12	20	22	23
lcl|NC_008562.1_cds_YP_851076.1_62.1	lcl|NC_008562.1_cds_YP_851076.1_62	1	831	+	831	1593	2141	409	2106	1937	577	1629	2038	715	2477	812	571	1051	731	1374	1123	816	811	812	1032	1080	699	631	203
lcl|NC_008562.1_cds_YP_851077.1_63.1	lcl|NC_008562.1_cds_YP_851077.1_63	1	660	+	660	163	139	130	494	502	434	162	251	137	747	199	427	219	232	478	684	483	627	141	152	171	638	348	357
lcl|NC_008562.1_cds_YP_851079.1_65.1	lcl|NC_008562.1_cds_YP_851079.1_65	1	780	+	780	27	22	8	49	74	54	19	20	19	89	23	35	15	13	143	103	82	100	16	25	25	25	28	28
lcl|NC_008562.1_cds_YP_851080.1_66.1	lcl|NC_008562.1_cds_YP_851080.1_66	1	516	+	516	57	46	34	111	133	104	44	24	42	123	69	81	41	70	244	101	80	195	42	59	45	96	139	102
lcl|NC_008562.1_cds_YP_851081.1_67.1	lcl|NC_008562.1_cds_YP_851081.1_67	1	405	+	405	2	0	11	32	81	94	0	2	2	6	7	7	0	0	324	51	21	61	4	10	10	33	34	34
lcl|NC_008562.1_cds_YP_851082.1_68.1	lcl|NC_008562.1_cds_YP_851082.1_68	1	642	+	642	19	12	2	44	43	27	12	10	1	34	7	12	14	12	135	48	43	18	5	13	14	20	22	9
lcl|NC_008562.1_cds_YP_851083.1_69.1	lcl|NC_008562.1_cds_YP_851083.1_69	1	756	+	756	145	96	9	395	228	49	197	194	59	489	64	43	138	96	239	362	358	242	71	117	128	265	300	72
lcl|NC_008562.1_cds_YP_851084.1_70.1	lcl|NC_008562.1_cds_YP_851084.1_70	1	438	+	438	167	115	19	425	282	102	131	165	47	482	68	65	108	93	207	378	275	245	84	118	131	316	305	65
lcl|NC_008562.1_cds_YP_851085.1_71.1	lcl|NC_008562.1_cds_YP_851085.1_71	1	519	+	519	29	34	11	18	8	6	33	29	25	11	0	8	0	32	29	27	19	25	26	32	24	21	19	6
lcl|NC_008562.1_cds_YP_851086.1_72.1	lcl|NC_008562.1_cds_YP_851086.1_72	1	720	+	720	139	77	45	254	246	145	95	128	46	382	116	192	84	119	432	343	242	287	118	80	87	283	302	187
lcl|NC_008562.1_cds_YP_851088.1_74.1	lcl|NC_008562.1_cds_YP_851088.1_74	1	282	+	282	117	94	41	197	188	69	103	114	55	220	73	71	76	142	268	291	256	185	54	94	68	172	212	131
lcl|NC_008562.1_cds_YP_851090.1_76.1	lcl|NC_008562.1_cds_YP_851090.1_76	1	903	+	903	86	34	49	148	127	77	54	49	23	151	48	60	53	97	221	186	198	186	48	59	50	145	177	144
lcl|NC_008562.1_cds_YP_851091.1_77.1	lcl|NC_008562.1_cds_YP_851091.1_77	1	249	+	249	7	7	2	12	9	9	5	5	0	16	13	11	5	14	48	18	14	19	2	9	6	25	22	15
lcl|NC_008562.1_cds_YP_851092.1_78.1	lcl|NC_008562.1_cds_YP_851092.1_78	1	264	+	264	33	22	14	65	65	20	20	26	7	147	32	43	35	40	156	65	59	64	23	29	20	65	117	24
lcl|NC_008562.1_cds_YP_851093.1_79.1	lcl|NC_008562.1_cds_YP_851093.1_79	1	276	+	276	41	24	28	92	100	81	31	27	30	89	67	61	24	64	95	132	81	132	25	23	28	74	96	111
lcl|NC_008562.1_cds_YP_851094.1_80.1	lcl|NC_008562.1_cds_YP_851094.1_80	1	10689	+	10689	1246	754	564	2162	1986	1297	830	988	397	2584	1111	1145	966	1269	4161	3594	3127	3298	696	877	781	2629	2821	1695
lcl|NC_008562.1_cds_YP_851095.1_81.1	lcl|NC_008562.1_cds_YP_851095.1_81	1	363	+	363	1726	1190	559	3159	3077	1434	834	979	454	4365	1628	1489	1409	1988	5430	4984	5273	4560	884	1043	1181	3213	4055	1775
lcl|NC_008562.1_cds_YP_851096.1_82.1	lcl|NC_008562.1_cds_YP_851096.1_82	1	249	+	249	489	375	125	774	705	260	149	310	71	1315	282	302	368	516	1242	1141	1330	1134	228	212	276	807	1138	432
lcl|NC_008562.1_cds_YP_851097.1_83.1	lcl|NC_008562.1_cds_YP_851097.1_83	1	1341	+	1341	1277	957	633	2610	2247	1376	815	941	498	3372	1376	1415	1002	1735	3931	3902	4354	3535	799	968	1056	3023	3507	1913
lcl|NC_008562.1_cds_YP_851098.1_84.1	lcl|NC_008562.1_cds_YP_851098.1_84	1	423	+	423	144	114	70	277	217	189	84	92	51	298	233	150	93	182	470	359	408	365	88	105	127	281	440	245
